epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.519,1.26077,2.52723,1.44337,0.33527,0.50927,0.34393,0.22072,1.23795,2.20114,1.4353,0.000475793,0.000475793,0.000475793
2,433.113,1.25485,2.25127,1.4258,0.33451,0.51951,0.34959,0.22614,1.27785,2.4551,1.45391,0.000933274,0.000933274,0.000933274
3,642.331,1.27092,2.17254,1.42256,0.32212,0.5181,0.29924,0.18375,1.32405,2.14416,1.47713,0.00137189,0.00137189,0.00137189
4,850.526,1.26066,2.05327,1.42887,0.39221,0.37665,0.35982,0.25138,1.25218,2.17749,1.37945,0.00134412,0.00134412,0.00134412
5,1060.18,1.19921,1.96785,1.39207,0.35507,0.56671,0.40105,0.28187,1.23862,1.97293,1.41918,0.00131582,0.00131582,0.00131582
6,1268.84,1.18491,1.89496,1.37923,0.29181,0.49926,0.32873,0.21451,1.20042,2.20597,1.38246,0.00128753,0.00128753,0.00128753
7,1479.83,1.12213,1.79612,1.34222,0.35768,0.55879,0.41886,0.27223,1.1076,1.7944,1.29333,0.00125923,0.00125923,0.00125923
8,1682.85,1.07791,1.73981,1.31494,0.36227,0.59627,0.41318,0.27447,1.17068,1.9116,1.35144,0.00123094,0.00123094,0.00123094
9,1885.84,1.03781,1.6704,1.28033,0.48969,0.57386,0.50919,0.3476,1.06244,1.58676,1.28378,0.00120265,0.00120265,0.00120265
10,2090.54,1.00713,1.64512,1.25531,0.43749,0.57856,0.4448,0.30509,1.15879,2.3039,1.37952,0.00117435,0.00117435,0.00117435
11,2302.17,0.99061,1.55802,1.25692,0.47112,0.65597,0.51583,0.37213,1.01992,1.50594,1.22748,0.00114606,0.00114606,0.00114606
12,2512.52,0.96714,1.5359,1.24272,0.50056,0.59646,0.51083,0.36377,1.07422,1.64631,1.28491,0.00111776,0.00111776,0.00111776
13,2716.78,0.94881,1.48483,1.23526,0.47554,0.55524,0.51944,0.38379,0.97701,1.59235,1.21407,0.00108947,0.00108947,0.00108947
14,2924.42,0.92946,1.44626,1.22239,0.47987,0.62502,0.51942,0.38116,0.95562,1.60219,1.15952,0.00106118,0.00106118,0.00106118
15,3131.38,0.90756,1.42009,1.20479,0.54801,0.56601,0.56297,0.42697,0.98876,1.3892,1.17841,0.00103288,0.00103288,0.00103288
16,3335.28,0.9015,1.42091,1.20587,0.52057,0.66205,0.55668,0.408,0.98691,1.45386,1.23047,0.00100459,0.00100459,0.00100459
17,3541.84,0.86884,1.36501,1.19016,0.58039,0.56798,0.55197,0.40758,0.94043,1.53753,1.19013,0.000976293,0.000976293,0.000976293
18,3749.82,0.86779,1.35191,1.18784,0.48299,0.68862,0.55395,0.42359,0.8938,1.55037,1.13974,0.000947999,0.000947999,0.000947999
19,3956.22,0.84789,1.32301,1.18006,0.54357,0.73961,0.6207,0.47763,0.84659,1.19078,1.10404,0.000919704,0.000919704,0.000919704
20,4162.35,0.82256,1.30427,1.15636,0.57202,0.74911,0.60312,0.45129,0.87787,1.47235,1.12204,0.00089141,0.00089141,0.00089141
21,4372.07,0.8004,1.24358,1.14858,0.55089,0.68234,0.59482,0.44871,0.89386,1.35891,1.13548,0.000863116,0.000863116,0.000863116
22,4579.87,0.8265,1.25066,1.16467,0.55271,0.67733,0.5712,0.43493,0.8396,1.36812,1.11468,0.000834822,0.000834822,0.000834822
23,4783.93,0.79307,1.23486,1.15441,0.55179,0.68133,0.57981,0.44786,0.83242,1.2927,1.0869,0.000806528,0.000806528,0.000806528
24,4989.58,0.779,1.23593,1.14756,0.6408,0.73849,0.63851,0.48975,0.82923,1.17792,1.11298,0.000778233,0.000778233,0.000778233
25,5192.03,0.77229,1.20376,1.13323,0.55397,0.72478,0.61394,0.4797,0.80997,1.17972,1.07811,0.000749939,0.000749939,0.000749939
26,5392.83,0.76337,1.19218,1.12924,0.5629,0.75637,0.64241,0.49454,0.8007,1.19966,1.05914,0.000721645,0.000721645,0.000721645
27,5590.4,0.75186,1.16662,1.11972,0.63469,0.70067,0.63914,0.51072,0.78103,1.10595,1.06533,0.000693351,0.000693351,0.000693351
28,5790.98,0.75637,1.16101,1.1234,0.64892,0.61427,0.66554,0.52872,0.80404,1.08213,1.07867,0.000665057,0.000665057,0.000665057
29,5988.29,0.73623,1.12434,1.11107,0.61073,0.68106,0.63634,0.51371,0.7612,1.20863,1.03921,0.000636762,0.000636762,0.000636762
30,6185.88,0.72477,1.14018,1.11296,0.5255,0.74034,0.61647,0.48728,0.77805,1.14271,1.03933,0.000608468,0.000608468,0.000608468
31,6401.61,0.72382,1.13445,1.11144,0.60216,0.70065,0.66951,0.53687,0.75336,1.08933,1.02825,0.000580174,0.000580174,0.000580174
32,6600.8,0.71446,1.1029,1.10127,0.61319,0.69739,0.65295,0.53083,0.74181,1.11045,1.02955,0.00055188,0.00055188,0.00055188
33,6799.28,0.70951,1.11613,1.10229,0.61003,0.74139,0.66003,0.52984,0.74247,1.09793,1.04162,0.000523586,0.000523586,0.000523586
34,6998.88,0.69567,1.05712,1.09174,0.53848,0.77035,0.65042,0.51439,0.72666,1.13693,1.0462,0.000495291,0.000495291,0.000495291
35,7201.27,0.69092,1.0857,1.09865,0.63192,0.73179,0.69432,0.55851,0.7156,1.01885,1.01963,0.000466997,0.000466997,0.000466997
36,7403.38,0.67675,1.03943,1.07729,0.6304,0.69768,0.6885,0.56206,0.7296,1.05011,1.02716,0.000438703,0.000438703,0.000438703
37,7605.37,0.68031,1.02777,1.087,0.63729,0.75655,0.71405,0.5742,0.7195,1.01508,1.01112,0.000410409,0.000410409,0.000410409
38,7807.1,0.66527,1.01653,1.08064,0.63018,0.72703,0.70463,0.56635,0.73413,1.01048,1.02119,0.000382115,0.000382115,0.000382115
39,8009.33,0.66376,1.01541,1.07613,0.6782,0.66812,0.69718,0.56507,0.68069,1.063,0.99301,0.00035382,0.00035382,0.00035382
40,8209.68,0.65371,1.02404,1.06864,0.6356,0.69859,0.70213,0.57501,0.71919,0.99796,1.03512,0.000325526,0.000325526,0.000325526
41,8407.63,0.45517,0.76236,0.94938,0.66819,0.72644,0.71747,0.59066,0.69198,0.96565,1.0165,0.000297232,0.000297232,0.000297232
42,8605.69,0.44505,0.71368,0.94615,0.66323,0.68892,0.71806,0.59332,0.69214,0.97781,1.01625,0.000268938,0.000268938,0.000268938
43,8802.86,0.43104,0.69335,0.93138,0.65064,0.61872,0.68887,0.57308,0.66435,1.0265,0.99198,0.000240644,0.000240644,0.000240644
44,9000.92,0.42869,0.67646,0.93458,0.69167,0.65955,0.71874,0.58646,0.70384,0.9647,1.02344,0.000212349,0.000212349,0.000212349
45,9198.62,0.40341,0.66302,0.92499,0.70394,0.65664,0.7159,0.59212,0.69282,0.97231,1.01302,0.000184055,0.000184055,0.000184055
46,9395.85,0.39967,0.62903,0.9196,0.68075,0.70001,0.73367,0.60881,0.6896,0.92607,1.01481,0.000155761,0.000155761,0.000155761
47,9592.48,0.40139,0.61342,0.92212,0.72338,0.65201,0.73714,0.61205,0.67993,0.92895,1.01997,0.000127467,0.000127467,0.000127467
48,9790.09,0.38613,0.60804,0.91695,0.6932,0.691,0.73992,0.61412,0.67174,0.92362,1.00323,9.91726e-05,9.91726e-05,9.91726e-05
49,9988.66,0.38228,0.59235,0.9176,0.70785,0.74318,0.74387,0.61392,0.6677,0.91526,1.00651,7.08784e-05,7.08784e-05,7.08784e-05
50,10197.4,0.36813,0.57328,0.90391,0.70609,0.63644,0.73378,0.61032,0.6693,0.92133,1.00849,4.25842e-05,4.25842e-05,4.25842e-05
